類別	代碼	名稱	法人進出	"人壽金控
進出"	"400張以上
增減"	"千張以上
增減"	"內部大戶
增減"	"400張以上
增減占比"	"千張以上
增減占比"	"內部大戶
增減占比"	"內部大戶
買賣超"	外資	投信	"內部大戶
半年內持股"	股價	股價漲幅
通信網路	2439	美律	-145.0	120.0	888.0	-563	867	0.43%	-0.27%	0.42%	連三週買超	連二週賣超			137.5	-1.08%
鋼鐵	2024	志聯	4.0	0.0	393.0	399	396	0.40%	0.41%	0.41%	連三週買超	賣轉買		創新高	14.05	1.08%
鋼鐵	2027	大成鋼	-5415.0	0.0	-3892.0	370	5008	-0.32%	0.03%	0.41%	賣轉買	買轉賣			27.9	0.72%
櫃通信	3081	聯亞	-441.0	0.0	104.0	36	367	0.11%	0.04%	0.40%	賣轉買	賣轉買	連三週賣超		270.5	-4.92%
電機	1538	正峰新	0.0	0.0	229.0	224	225	0.41%	0.40%	0.40%					3.38	-8.40%
塑膠	1325	恆大	-874.0	0.0	-4221.0	-221	341	-4.95%	-0.26%	0.40%	賣轉買	買轉賣	連二週買超		189.0	0.00%
其他	9933	中鼎	3166.0	1015.0	4874.0	6564	3009	0.64%	0.86%	0.39%	賣轉買	賣轉買			37.5	1.76%
其他	2358	廷鑫	8.0	0.0	367.0	378	371	0.39%	0.40%	0.39%	賣轉買	連二週買超			13.55	-3.21%
櫃通信	8034	榮群	-365.0	0.0	710.0	-25	246	1.13%	-0.04%	0.39%					22.1	-1.78%
櫃通信	3491	昇達科	-121.0	0.0	153.0	1667	238	0.25%	2.74%	0.39%	連二週買超	連三週賣超		創新高	79.0	-1.25%
櫃電零	8182	加高	-693.0	0.0	315.0	-96	418	0.29%	-0.09%	0.39%	賣轉買	買轉賣			27.6	-10.68%
櫃電零	3689	湧德	-29.0	0.0	240.0	250	272	0.34%	0.36%	0.39%	賣轉買	買轉賣		創新高	26.55	6.84%
其他	8464	億豐	1036.0	0.0	1769.0	-263	1135	0.60%	-0.09%	0.39%	賣轉買	連三週買超	連二週買超		280.0	7.90%
電子零組件	8103	瀚荃	36.0	0.0	346.0	341	315	0.43%	0.42%	0.39%	連三週買超	連二週買超		創新高	25.95	0.00%
櫃其他	8938	明安	-84.0	0.0	-230.0	460	522	-0.17%	0.34%	0.39%	連二週買超	買轉賣		創新高	33.0	-3.65%
櫃電機	1597	直得	-655.0	0.0	-148.0	-8	313	-0.18%	-0.01%	0.39%	連二週買超	連三週賣超	買轉賣		89.2	-6.20%
櫃其他	8916	光隆	-147.0	0.0	590.0	393	501	0.45%	0.30%	0.38%	連三週買超	連三週買超		創新高	41.95	-1.76%
生技醫療	4119	旭富	-244.0	0.0	134.0	7	298	0.17%	0.01%	0.37%	連二週買超	賣轉買	連三週賣超		138.5	-2.46%
櫃電零	3206	志豐	-48.0	0.0	157.0	167	202	0.29%	0.31%	0.37%	連三週買超	連三週賣超		創新高	28.5	-4.04%
電腦週邊	2352	佳世達	-2989.0	0.0	268.0	4523	7322	0.01%	0.23%	0.37%	連三週買超	買轉賣	連二週賣超	創新高	17.35	0.00%
光電	2406	國碩	-705.0	0.0	-876.0	226	765	-0.43%	0.11%	0.37%	賣轉買	連三週賣超			8.88	-6.82%
櫃他電	8383	千附	126.0	0.0	622.0	531	438	0.53%	0.45%	0.37%	連三週買超	連二週買超		創新高	38.2	-2.30%
櫃生技	4123	晟德	-6822.0	0.0	-3547.0	-7288	1549	-0.84%	-1.73%	0.37%	連三週買超	連三週賣超		創新高	75.0	-3.85%
櫃電零	6173	信昌電	-575.0	0.0	208.0	602	630	0.12%	0.35%	0.37%	連二週買超	買轉賣	連二週買超		55.4	-5.94%
半導體	5305	敦南	-192.0	0.0	-728.0	999	1144	-0.23%	0.32%	0.37%	賣轉買	買轉賣			41.45	-0.24%
半導體	3257	虹冠電	611.0	0.0	688.0	-6	254	0.99%	-0.01%	0.37%	賣轉買	連三週買超			79.3	-1.49%
